"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2021 01:30 - 03/01/2021 01:45","BZN|NL","10850.05","11442.94"
"03/01/2021 01:45 - 03/01/2021 02:00","BZN|NL","10737.98","11332.57"
"03/01/2021 02:00 - 03/01/2021 02:15","BZN|NL","10681.11","11225.74"
"03/01/2021 02:15 - 03/01/2021 02:30","BZN|NL","10608.62","11161.87"
"03/01/2021 02:30 - 03/01/2021 02:45","BZN|NL","10563.71","11086.75"
"03/01/2021 02:45 - 03/01/2021 03:00","BZN|NL","10513.73","11040.39"
"03/01/2021 03:00 - 03/01/2021 03:15","BZN|NL","10465.51","11027.14"
"03/01/2021 03:15 - 03/01/2021 03:30","BZN|NL","10392.34","11029.90"
"03/01/2021 03:30 - 03/01/2021 03:45","BZN|NL","10372.11","11056.03"
"03/01/2021 03:45 - 03/01/2021 04:00","BZN|NL","10414.92","11061.94"
"03/01/2021 04:00 - 03/01/2021 04:15","BZN|NL","10393.58","11073.98"
"03/01/2021 04:15 - 03/01/2021 04:30","BZN|NL","10418.75","11121.38"
"03/01/2021 04:30 - 03/01/2021 04:45","BZN|NL","10415.99","11127.82"
"03/01/2021 04:45 - 03/01/2021 05:00","BZN|NL","10387.14","11133.68"
"03/01/2021 05:00 - 03/01/2021 05:15","BZN|NL","10490.68","11128.83"
"03/01/2021 05:15 - 03/01/2021 05:30","BZN|NL","10518.08","11145.33"
"03/01/2021 05:30 - 03/01/2021 05:45","BZN|NL","10521.11","11174.83"
"03/01/2021 05:45 - 03/01/2021 06:00","BZN|NL","10536.17","11201.37"
"03/01/2021 06:00 - 03/01/2021 06:15","BZN|NL","10643.07","11238.54"
"03/01/2021 06:15 - 03/01/2021 06:30","BZN|NL","10661.29","11283.74"
"03/01/2021 06:30 - 03/01/2021 06:45","BZN|NL","10708.96","11330.18"
"03/01/2021 06:45 - 03/01/2021 07:00","BZN|NL","10754.59","11376.60"
"03/01/2021 07:00 - 03/01/2021 07:15","BZN|NL","10880.94","11457.06"
"03/01/2021 07:15 - 03/01/2021 07:30","BZN|NL","10959.74","11585.50"
"03/01/2021 07:30 - 03/01/2021 07:45","BZN|NL","11059.14","11706.90"
"03/01/2021 07:45 - 03/01/2021 08:00","BZN|NL","11214.50","11811.87"
"03/01/2021 08:00 - 03/01/2021 08:15","BZN|NL","11445.70","11959.94"
"03/01/2021 08:15 - 03/01/2021 08:30","BZN|NL","11662.73","12159.50"
"03/01/2021 08:30 - 03/01/2021 08:45","BZN|NL","11814.73","12310.62"
"03/01/2021 08:45 - 03/01/2021 09:00","BZN|NL","11862.40","12431.19"
"03/01/2021 09:00 - 03/01/2021 09:15","BZN|NL","12016.89","12586.07"
"03/01/2021 09:15 - 03/01/2021 09:30","BZN|NL","12145.95","12746.38"
"03/01/2021 09:30 - 03/01/2021 09:45","BZN|NL","12323.97","12874.16"
"03/01/2021 09:45 - 03/01/2021 10:00","BZN|NL","12430.47","12988.85"
"03/01/2021 10:00 - 03/01/2021 10:15","BZN|NL","12561.38","13078.13"
"03/01/2021 10:15 - 03/01/2021 10:30","BZN|NL","12735.09","13140.32"
"03/01/2021 10:30 - 03/01/2021 10:45","BZN|NL","12795.52","13176.03"
"03/01/2021 10:45 - 03/01/2021 11:00","BZN|NL","12839.40","13189.36"
"03/01/2021 11:00 - 03/01/2021 11:15","BZN|NL","12784.81","13219.23"
"03/01/2021 11:15 - 03/01/2021 11:30","BZN|NL","12907.54","13257.00"
"03/01/2021 11:30 - 03/01/2021 11:45","BZN|NL","13002.70","13275.34"
"03/01/2021 11:45 - 03/01/2021 12:00","BZN|NL","13076.27","13295.40"
"03/01/2021 12:00 - 03/01/2021 12:15","BZN|NL","13115.07","13310.52"
"03/01/2021 12:15 - 03/01/2021 12:30","BZN|NL","13045.12","13355.20"
"03/01/2021 12:30 - 03/01/2021 12:45","BZN|NL","13085.94","13354.32"
"03/01/2021 12:45 - 03/01/2021 13:00","BZN|NL","13172.64","13381.10"
"03/01/2021 13:00 - 03/01/2021 13:15","BZN|NL","13170.73","13429.93"
"03/01/2021 13:15 - 03/01/2021 13:30","BZN|NL","13095.77","13468.77"
"03/01/2021 13:30 - 03/01/2021 13:45","BZN|NL","13148.93","13483.04"
"03/01/2021 13:45 - 03/01/2021 14:00","BZN|NL","13147.30","13475.31"
"03/01/2021 14:00 - 03/01/2021 14:15","BZN|NL","13197.59","13546.70"
"03/01/2021 14:15 - 03/01/2021 14:30","BZN|NL","13171.83","13646.73"
"03/01/2021 14:30 - 03/01/2021 14:45","BZN|NL","13240.49","13726.68"
"03/01/2021 14:45 - 03/01/2021 15:00","BZN|NL","13295.10","13784.73"
"03/01/2021 15:00 - 03/01/2021 15:15","BZN|NL","13353.48","13869.34"
"03/01/2021 15:15 - 03/01/2021 15:30","BZN|NL","13430.21","13942.52"
"03/01/2021 15:30 - 03/01/2021 15:45","BZN|NL","13498.29","14043.14"
"03/01/2021 15:45 - 03/01/2021 16:00","BZN|NL","13543.08","14102.75"
"03/01/2021 16:00 - 03/01/2021 16:15","BZN|NL","13599.96","14139.18"
"03/01/2021 16:15 - 03/01/2021 16:30","BZN|NL","13723.41","14224.52"
"03/01/2021 16:30 - 03/01/2021 16:45","BZN|NL","13913.20","14391.88"
"03/01/2021 16:45 - 03/01/2021 17:00","BZN|NL","14319.69","14637.69"
"03/01/2021 17:00 - 03/01/2021 17:15","BZN|NL","14665.32","14891.97"
"03/01/2021 17:15 - 03/01/2021 17:30","BZN|NL","15011.89","14978.44"
"03/01/2021 17:30 - 03/01/2021 17:45","BZN|NL","15175.87","15127.89"
"03/01/2021 17:45 - 03/01/2021 18:00","BZN|NL","15094.67","15152.59"
