event_time_utc,zone,temperature_c,u10_ms,v10_ms,surface_pressure_pa
2020-01-09 04:00:00,NL,9.566895,-0.51167816,6.1219134,101204.586
2020-01-09 05:00:00,NL,9.871399,0.4461942,7.022009,101057.305
2020-01-09 06:00:00,NL,10.1839905,1.813388,7.7372503,100952.305
2020-01-09 07:00:00,NL,10.482758,2.878367,8.180736,100835.42
2020-01-09 08:00:00,NL,10.701843,3.4130976,8.405571,100785.414
2020-01-09 09:00:00,NL,10.889893,3.6774487,8.504598,100713.89
2020-01-09 10:00:00,NL,11.166534,3.9171243,8.20784,100687.62
2020-01-09 11:00:00,NL,11.360413,4.498983,7.96588,100633.53
2020-01-09 12:00:00,NL,11.453552,4.8071094,7.736165,100577.27
2020-01-09 13:00:00,NL,11.521149,5.0249443,7.394817,100496.63
2020-01-09 14:00:00,NL,11.533478,4.995853,6.925794,100473.58
2020-01-09 15:00:00,NL,11.443146,4.930018,6.426787,100467.875
2020-01-09 16:00:00,NL,11.296967,4.5127163,5.9121447,100459.26
2020-01-09 17:00:00,NL,11.15509,4.1238427,5.662199,100450.57
2020-01-09 18:00:00,NL,11.018921,3.8436959,5.523705,100453.39
2020-01-09 19:00:00,NL,10.839325,3.5733383,5.2621717,100419.89
2020-01-09 20:00:00,NL,10.659332,3.1325264,4.989234,100405.58
2020-01-09 21:00:00,NL,10.485321,3.1640139,5.062712,100380.18
2020-01-09 22:00:00,NL,10.409302,3.3217337,5.103254,100378.33
2020-01-09 23:00:00,NL,10.218597,4.139028,4.6270213,100411.33
2020-01-10 00:00:00,NL,9.817291,4.6353593,3.9432113,100450.32
2020-01-10 01:00:00,NL,9.385437,4.7472844,3.3114636,100480.266
2020-01-10 02:00:00,NL,8.931671,4.693988,2.8644848,100561.45
2020-01-10 03:00:00,NL,8.515747,4.7224364,2.2374508,100645.72
2020-01-10 04:00:00,NL,8.219757,4.362455,1.4036187,100702.37
2020-01-10 05:00:00,NL,7.902649,4.0142355,0.43783832,100761.28
2020-01-10 06:00:00,NL,7.7388,3.7047086,-0.65143836,100852.016
2020-01-10 07:00:00,NL,7.679535,3.4673696,-1.6874259,100939.87
2020-01-10 08:00:00,NL,7.6017456,3.4178584,-2.5704749,101054.266
2020-01-10 09:00:00,NL,7.6309814,3.560971,-3.4924915,101198.5
2020-01-10 10:00:00,NL,7.7816772,3.1637638,-4.5216784,101340.99
2020-01-10 11:00:00,NL,7.81662,3.4684656,-5.017324,101483.48
2020-01-10 12:00:00,NL,7.779846,3.6268044,-5.122557,101616.65
2020-01-10 13:00:00,NL,7.666809,3.7637868,-4.91289,101729.586
2020-01-10 14:00:00,NL,7.552002,3.917921,-4.907111,101871.875
2020-01-10 15:00:00,NL,7.3072815,3.6869345,-4.642961,102012.78
2020-01-10 16:00:00,NL,6.9459534,3.405994,-4.0942197,102148.09
2020-01-10 17:00:00,NL,6.4248047,3.3265069,-3.2641027,102254.23
